Date,Heure_debut,Heure_fin,Phase,Activite,Participants,Resultat_decisions,Preuves_collectees,Actions_a_suivre,Responsable,Echeance,Statut
2025-12-02,09:00,10:30,cadrage,"Reunion de lancement + validation perimetre","Direction; Referent SI; Equipe audit","Perimetre valide + interlocuteurs designes (Direction/Referent SI)",P-001,"Envoyer liste documents demandes + planning",Chef d'equipe,2025-12-03,Cloture
2025-12-03,14:00,16:00,cadrage,"Revue documentaire initiale (politiques/process)",Equipe audit,"Manques identifies (incident, registre RGPD, revues droits)",P-006,"Demander complements + plan d'entretiens",Collecte preuves,2025-12-05,Cloture
2025-12-05,10:00,11:00,cadrage,"Revue sauvegardes (plan + perimetre)","Prestataire IT; Equipe audit","Strategie decrite; besoin preuve test restauration",P-022,"Planifier collecte logs + PV test",Expert technique,2025-12-15,Cloture
2025-12-06,15:00,16:30,cadrage,"Revue contrats/DPA + HDS (documentaire)","Direction; Equipe audit","Documents centralises partiellement; actions de compleude","P-029;P-030","Lister clauses manquantes + plan d'action",Analyste conformite,2025-12-20,Cloture
2025-12-08,09:30,11:30,terrain,"M365 : MFA, comptes admin, rapports connexions","Expert technique; Equipe audit","Exports realises; ecarts potentiels identifies","P-002;P-003;P-004;P-005","Preparer constat acces/MFA si besoin",Risques,2025-12-22,Cloture
2025-12-11,14:00,16:00,terrain,"MedSimple : roles, parametres, logs","Responsable applicatif; Equipe audit","Roles exportes; logs partiels; points a confirmer","P-008;P-009;P-010;P-011","Valider retention logs + moindre privilege",Expert technique,2025-12-18,Cloture
2025-12-12,09:00,11:00,terrain,"Observations postes (accueil/direction)","Referent SI; Equipe audit","Captures update/BitLocker/lock; ecarts patch possibles","P-012;P-016;P-017","Demander reporting patch prestataire",Collecte preuves,2025-12-13,Cloture
2025-12-13,10:00,11:00,terrain,"Console EDR : couverture + alertes","Prestataire IT; Equipe audit","Couverture confirmee; alertes a analyser","P-014;P-015","Synthese posture endpoint",Expert technique,2025-12-18,Cloture
2025-12-14,14:00,16:00,terrain,"Reseau : Wi-Fi invite/interne, regles pare-feu","NOC/IT; Equipe audit","Exports config; risque segmentation a qualifier","P-018;P-019;P-020;P-021","Preparer constat reseau si iso invite insuffisant",Risques,2025-12-22,Cloture
2025-12-15,10:00,11:30,terrain,"Sauvegardes : logs + offsite","Prestataire IT; Equipe audit","Logs 30j collectes; offsite documente","P-023;P-024","Planifier test restauration + PV",Chef d'equipe,2025-12-18,Cloture
2025-12-18,09:00,10:00,terrain,"Test restauration (preuve)","Prestataire IT; Equipe audit","Test OK; PV redige + artefact anonymise","P-025;P-026","Mettre a jour analyse risque sauvegardes",Risques,2025-12-20,Cloture
2025-12-16,14:00,15:30,terrain,"Incidents : procedure + preparation exercice","Direction; IT; Equipe audit","Procedure fournie; exercice planifie",P-027,"Conduire table-top ransomware",Chef d'equipe,2025-12-19,Cloture
2025-12-19,10:00,11:00,terrain,"Exercice table-top ransomware","Direction; IT; Equipe audit","Ameliorations identifiees (contacts, decision CNIL, communication)",P-028,"Formaliser actions + priorites P1/P2",Analyste conformite,2025-12-22,Cloture
2025-12-22,09:00,11:30,analyse,"Synthese constats + cotation risques",Equipe audit,"Constats consolides; criticités validees",,"Rediger rapport + plan d'actions",Chef d'equipe,2025-12-29,Cloture
2025-12-29,09:00,12:00,rapport,"Redaction rapport (ES + constats + actions)",Equipe audit,"Version 0.9 prete pour relecture",,"Relecture croisee + corrections",Chef d'equipe,2026-01-03,Cloture
2026-01-03,10:00,11:00,rapport,"Reunion cloture (validation factuelle)","Direction; Equipe audit","Accord factuel sur constats + plan d'actions",,"Finaliser support PPT + executive summary",Chef d'equipe,2026-01-05,Cloture
2026-01-05,10:00,10:20,rapport,"Restitution orale (15-20 min)","Direction; Equipe audit","Restitution effectuee; decisions de priorisation actees",,"Envoyer rapport final + support",Chef d'equipe,2026-01-05,Cloture
